english,current_telugu
"108, swastic society, navragpura, ahmedabad, gujarat - 380009","108, స్వస్తిక్ సొసైటీ, నవరగుపుర, అహ్మదాబాద్, గుజరాత్ - 380009 "
"11 b, ganga ram hospital marg, new delhi  110060","11 బి, గంగా రామ్ హాస్పిటల్ మార్గ్, న్యూఢిల్లీ 110060 "
"11-45, b2 hill ward, kuzhithurai, vilavancode taluk, kanyakumari - 629163, tamil nadu","11-45, B2 హిల్ వార్డ్, ప్రయాణిస్తున్న, ధర, ధర, నది, కన్యాకుమారి - 629163, తమిళనాడు "
"11, national library avenue, alipore, kolkata  700027, west bengal","11, నేషనల్ లైబ్రరీ అవెన్యూ, అలిపోరె, కోల్‌కతా 700027, పశ్చిమ బెంగాల్"
"111, shaheed udham singh nagar, jalandhar - 144001, punjab","111, షాహీద్ ఉద్దం సింగ్ నగర్, జలంధర్ - 144001, పంజాబ్ "
"111112, west of chord road, opp. rajajinagar 1st block junction, rajajinagar, bangalore  560086, karnataka","111112, chorad రహదారి పశ్చిమ, op. రాజాజినగర్ 1 సెయింట్ బ్లాక్ జంక్షన్, రాజాజినగర్, బెంగళూరు 560086, కర్ణాటక "
"1125, madan mahal, jabalpur  482001, madhya pradesh","1125, మదన్ మహల్, జబల్పూర్ 482001, మధ్యప్రదేశ్ "
"113/103-a, swaroop nagar, kanpur  208002, uttar pradesh","113/103-ఏ, నగర్ నగర్, కాన్పూర్ 208002, ఉత్తరప్రదేశ్ "
"113/104-a, opp. motijheel swaroop nagar, kanpur ,kanpur nagar, uttar pradesh 208002","113 / 104-, OP. మోతీజి నగర్ నగర్, కాన్పూర్, కాన్పూర్ నగర్, ఉత్తర ప్రదేశ్ 208002 "
"1144a,waltair main road, rockdale layout, visakhapatnam  530002, andhra pradesh","1144 ఎ, వాల్టెయిర్ మెయిన్ రోడ్, రాక్‌డేల్ లేఅవుట్, విశాఖపట్నం 530002, ఆంధ్రప్రదేశ్"
"117/n/33, avon market kakadeo, kanpur  208025, uttar pradesh","117 / N / 33, అవాన్ మార్కెట్ కాకోడేయో, కాన్పూర్ 208025, అపార్టర్ ప్రదేశ్ "
"117473, l block, kakadeo, kanpur nagar  208005, uttar pradesh","117473, లా బ్లాక్, కాకదేవ్, కాన్పూర్ నగర్ 208005, ఉత్తర ప్రదేశ్ "
"117a, the mall, mall road, amritsar 143001, punjab","117A, ది మాల్, మాల్ రోడ్, అమృత్సర్ 143001, పంజాబ్ "
"12, varada reddy street, vedahcala nagar, chengalpattu, kancheepuram  603001, tamil nadu","12, వరాడార్ రెడ్డి స్ట్రీట్, వేదహాల నగర్, చెంగల్పట్టు, కాంచీపురం 603001, తమిళనాడు "
"120, mall road civil lines, ludhiana, punjab 141001","120, మాల్ రోడ్ సివిల్ లైన్స్, లూధియానా, పంజాబ్ 141001 "
"123, ramdaspeth, behind somalwar high school, nagpur  440010, maharashtra","123, రామ్దాస్పెత్, బిహిత్ సొల్వార్ హై స్కూల్, నాగపూర్ 440010, మహారాష్ట్ర "
"123, shaheed udham singh nagar, opp. doorsarshan kendra, jalandhar  144001, punjab","123, షాహీద్ ఉద్దం సింగ్ నగర్, ఓపి. టెలికమ్యూనికేషన్ సెంటర్, జలంధర్ 144001, పంజాబ్ "
"12mall road, kennedy avenue,  amritsar  143001, punjab","12mall రోడ్, కెన్నెడీ అవెన్యూ, అమృత్సర్ 143001, పంజాబ్ "
"13 basant avenue, near rattan singh chowk, amritsar  143001, punjab","13 బసెంట్ అవెన్యూ, రాటన్ సింగ్ చౌక్, అమృత్సర్ 143001, పంజాబ్ సమీపంలో "
132 feet ring road,132 అడుగుల రింగ్ రోడ్
"1380, tank street, hosur  635109, tamil nadu","1380, ట్యాంక్ స్ట్రీట్, హోసూర్ 635109, తమిళనాడు "
"139, north cross, iiird street, anna nagar, madurai -625020, tamil nadu","139, నార్త్ క్రాస్, III వ వీధి, అన్నా నగర్, మదురై -625020, తమిళనాడు"
"141, opposite dhantoli park, dhantoli , nagpur  440012, maharashtra","141, ధంతలి పార్కు, ధానోలి, నాగ్పూర్ 440012, మహారాష్ట్ర సరసన "
"150 feet ring road, ayodhya chowk, opposite gokul mathura apartments,  rajkot  360005, gujarat","150 అడుగుల రింగ్ రోడ్, అయోధ్య చౌక్, గోకుల్ మథురా అపార్టుమెంట్లు సరసన, రాజ్కోట్ 360005, గుజరాత్ "
"152 r, model town, panipat 132103, haryana","152 R, మోడల్ టౌన్, పానిపట్ 132103, హర్యానా "
"152, southtuko ganj, indore  452001, madhya pradesh","152, సౌత్పికో గంజ్, ఇండోర్ 452001, మధ్యప్రదేశ్ "
"154/81, main bawana road, near sector35, pooth khurd, rohini, delhi  110039","154/81, నేను బవో రోడ్, సమీపంలోని సెక్టార్ 35, పాత్ ఖుర్ద్, రోహిణి, ఢిల్లీ 110039 "
"1583,  9th main, 3rd block, jayanagar, bangalore  560011, karnataka","1583, 9 వ మెయిన్, 3 వ బ్లాక్, జయనగర్, బెంగళూరు 560011, కర్నాటక "
"1611, vidhyadhar nagar, jaipur  302023, rajasthan","1611, విద్యాధర్ నగర్, జగూర్ 302023, రాజస్ధాన్ "
"1643, north ambazari road, shankar nagar nagpur-440033, maharashtra","1643, నార్త్ అంబజారి రోడ్, శంకర్ నగర్ నాగ్‌పూర్ -440033, మహారాష్ట్ర"
"1711, kgh rd, maharani peta, maharani peta, visakhapatnam  530002, andhra pradesh","1711, KGHH RD, మహారాణి పెటా, మహారాణి పెటా, విశాఖపట్నం 530002, ఆంధ్రప్రదేశ్ "
"172, sardar vallabh bhai patel ward, harda  461331, madhya pradesh","172, సర్దార్ వల్లభ్ బ్రదర్ పటేల్ వార్డ్, హార్డ్ 461331, మధ్యప్రదేశ్ "
"176, jagriti enclave, bhartendu harish chandra marg,  near karkardooma metro station, delhi 110092",[176]
"178r, model town, near kailash ashram, rohtak  124001, haryana","178r, మోడల్ టౌన్, కైలాష్ ఆశ్రమం సమీపంలో, రోహ్తక్ 124001, హర్యానా "
"1813, kgh down, maharanipeta, visakhapatnam  530002, andhra pradesh","1813, KGH డౌన్, మహారాణిపేట, విశాఖపట్నం 530002, ఆంధ్రప్రదేశ్ "
"182, gandhi nagar, r s road, kadapa  516001, andhra pradesh","182, గాంధీ నగర్, R. రోడ్, కడ్పా 516001, ఆంధ్రప్రదేశ్ "
"182, sector 33a, chandigarh  160020","182, సెక్టార్ 33, చండీగఢ్ 160020 "
"187, thathanari main road, near esi hospital, vaithiyanathapuram, madurai  625018, tamil nadu","187, తత్తన్రి మెయిన్ రోడ్, నరాల ఎసి హాస్పిటల్, వైదానాథపురం, మధురై 625018, తమిళనాడు "
"19, patlipura colony, patna  800013, bihar","19, పటిపురా కాలనీ, పాట్నా 800013, బీహార్ "
"19, siri fort road, new delhi - 110049","19, సిరి ఫోర్ట్ రోడ్, న్యూఢిల్లీ - 110049 "
"19, wardha road, rajiv nagar, nagpur  440025, maharashtra","19, వార్ధా రోడ్, రాజీవ్ నగర్, నాగ్పూర్ 440025, మహారాష్ట్ర "
"197, dr. natesan road, mylapore, chennai  600004, tamil nadu","197, డాక్టర్ నటేసన్ రోడ్, మైలాపూర్, చెన్నై 600004, తమిళనాడు"
"1a , narain singh park, asandh road, panipat  132103, haryana","1, నారాయణ్ సింగ్ పార్క్, యాషంద్ రోడ్, పానిపట్ 132103, హర్యానా "
"1st floor, diamond palace, hill road, opp. bandra police station, hill road, bandra west, mumbai  400050","1 వ అంతస్తు, డైమండ్ ప్యాలెస్, హిల్ రోడ్, Opp. బాంద్రా పోలీస్ స్టేషన్, హిల్ రోడ్, బాంద్ర వెస్ట్, ముంబై 400050 "
"1st floor, golden height guiding, jhankar more, gurdawan road, silguri, darjelling 734005, west bengal","1 వ అంతస్తు, గోల్డెన్ హైట్ గైడింగ్, ఝాన్కర్ మోర్, గుర్దవన్ రోడ్, సిల్గురి, డార్జెల్లింగ్  734005, పశ్చిమ బెంగాల్ "
2 d echo,2 డి ఎకో
"2, institutional area, rohini, delhi 110085","2, సంస్థాగత ప్రాంతం, రోహిణి, ఢిల్లీ 110085 "
"2, jagdish marg, patiala  147001, punjab","2, జగదీష్ మార్గ్, పాటియాలా 147001, పంజాబ్ "
"2, prss enclave road, saket, new delhi  110017","2, ప్రిస్ ఎన్క్లేవ్ రోడ్, సాకేత్, న్యూ ఢిల్లీ  110017"
"2/319, old mahabalipuram road , karapakkam, chennai - 600097, tamil nadu","2/319, ఓల్డ్ మహాబలిపురం రోడ్, గర్భం, చెన్నై - 600097, తమిళనాడు "
"208, safipur-1, ramadevi, kanpur  208007, uttar pradesh","208, భద్రత -1, రామ్దేవి, కాన్పూర్ 208007, ఉత్తరప్రదేశ్ "
"212 old no. 2, 14th cross, 3rd block, jayanagar, bangalore  560011, karnataka","212 పాత సంఖ్య 2, 14 వ క్రాస్, 3 వ బ్లాక్, జయనగర్, బెంగళూరు 560011, కర్నాటక "
"2266/17 & 18, g block, sahakara nagar, international airport road, bengaluru  560092, karnataka","2266/17 & 18, సి బ్లాక్, సహారా నగర్, ఇంటర్నేషనల్ ఎయిర్పోర్ట్ రోడ్, బెంగళూరు 560092, కర్ణాటక "
"2318, p.d tandon marg, 3- laxman chowk,  dehradun  246001, uttrakhand","2318, PD టాండన్ మార్గ్, 3- లక్ష్మణ్ చౌక్, డెహ్రాడూన్ 246001, ఉత్తరాఖండ్ "
"235/2, bs tata motors showrooms, near shapath ii, opp. rajpath club, s.g. highway, bodakdev, ahmedabad - 380015, gujarat","235/2, BS టాటా మోటార్స్ షెవోమ్స్, షాపాథ్ II సమీపంలో, Opp. రజ్పత్ క్లబ్, S.G హైవే, బోదక్దేవ్, అహ్మదాబాద్ - 380015, గుజరాత్ "
24 hour ambulatory blood pressure monitoring,24 గంటల అంబులెటరీ రక్తపోటు పర్యవేక్షణ
24 hour holter monitoring,24 గంటల హోల్టర్ పర్యవేక్షణ
"241, uma plaza, west marredpally, secunderabad  500026, telangana","241, ఒక ప్లాజా, వెస్ట్ మార్రేపల్లి, సికింద్రాబాద్ 500026, తెలంగాణ "
"25 near jain mandir, danish kunj, kolar road, bhopal  462042, madhya pradesh","25 జైన్ మందిర్, డానిష్ కుంజ్, కోలార్ రోడ్, భోపాల్ 462042, మధ్యప్రదేశ్ "
"258a, bommasandra industrial area, bangalore  560099, karnataka","258 ఎ, బొమ్మసాంద్ర ఇండస్ట్రియల్ ఏరియా, బెంగళూరు 560099, కర్ణాటక"
"25a, karve road, erandwane, pune  411004, maharashtra","25a, కర్వ్ రోడ్, ఎరండ్వానే, పుణె 411004, మహారాష్ట్ర "
"26 a, iind floor ring road, lajpat nagar iv , new delhi  110024","26 ఎ, ఐయిండ్ ఫ్లోర్ రింగ్ రోడ్, లజపత్ నగర్ IV, న్యూఢిల్లీ 110024 "
"26-16-7, chaitanya nagar, gajukwaka, visakhapatnam  530026, andhra pradesh","26-16-7, చైతన్య నగర్, గజక్వాకా, విశాఖపట్నం 530026, ఆంధ్రప్రదేశ్ "
"27, corporation colony, north ambazari road, nagpur  440033, maharashtra","27, కార్పొరేషన్ కాలనీ, నార్త్ అంబాజారి రోడ్, నాగ్పూర్ 440033, మహారాష్ట్ర "
"282576, ponneth temple road, elamkulam, ernakulam  682020, kerala","282576, పొన్నత్ టెంపుల్ రోడ్, ఎలాంకాలం, ఎర్నాకులం 682020, కేరళ "
"29/p2, the health city, bommasandra industrial area, hosur road, bangalore-560099, karnataka","29 / పి 2, ది హెల్త్ సిటీ, బొమ్మసాంద్ర ఇండస్ట్రియల్ ఏరియా, హోసూర్ రోడ్, బెంగళూరు -560099, కర్ణాటక"
2d & 3d echo,2డి  & 3డి  ఎకో
2d echo,2డి  ఎకో
2d echo ( outsourced),2 డి ఎకో (అవుట్సోర్స్డ్)
2d echo audiometry,2 డి ఎకో ఆడియోమెట్రీ
2d echo including stress echocardiography,ఒత్తిడి ఎకోకార్డియోగ్రఫీతో సహా 2 డి ఎకో
2d echo including tee,టీతో సహా 2 డి ఎకో
2d echo.,2డి  ఎకో
2d egho,2డి  ఎకో
2d/3d echo,2డి  / 3డి  ఎకో
"2nd floor, samved hospital building, near stadium circle, near sopan flats, navrangpura, ahmedabad  380009, gujarat","సోపాన్ ఫ్లాట్స్, నవ్రంగ్పురా, అహ్మదాబాద్ 380009, గుజరాత్ సమీపంలో స్టేడియం సర్కిల్ సమీపంలో 2 వ అంతస్తు, సమ్పిడ్ హాస్పిటల్ భవనం "
"2nd main, 9th cross, p j extension, davanagere, karnataka","2 ND మెయిన్, 9 వ క్రాస్, PJ ఎక్స్టెన్షన్, డేన్గేర్, కర్ణాటక "
"3-1177/1, t. b. road , proddatur  516360, andhra pradesh","3-1177 / 1, T. B. రోడ్, Proddatur 516360, ఆంధ్రప్రదేశ్ "
"3,4,5 nirankari colony, amritsar-143001, punjab","3,4,5 మంది నీర్కారీ కాలనీ, అమృత్సర్ -143001, పంజాబ్ "
"301, lajpat nagar, jalandhar - 144001, punjab","301, లాజపట్ నగర్, జలంధర్ - 144001, పంజాబ్ "
"305, lajpat nagar, bhagwan mahavir marg, near nakodar chowk, jalandhar  144001, punjab","305, లజపత్ నగర్, భగవాన్ మహావీర్ మార్గ్, నకూదర్ చౌక్, జలంధర్ 144001, పంజాబ్ "
"309, new jawahar nagar, near guru amar dass chowk, jalandhar city 144001, punjab","309, న్యూ జవహర్ నగర్, గురు అమర్ దాస్ సాఖా సమీపంలో, జలంధర్ నగరం 144001, పంజాబ్ "
"31, off chitale marg, dhantoli, nagpur -40012, maharashtra","31, చిలినా మార్గ్, ధనోలి, నాగపూర్ -40012, మహారాష్ట్ర "
"31119, kakatiya colony, alankar circle, warangal  506011","31119, కాకాటియా కాలనీ, అలాన్కర్ సర్కిల్, వరంగల్ 506011 "
"320, anna salai, mount road, chennai -600035, tamil nadu","320, అన్నా సలై, మౌంట్ రోడ్, చెన్నై -600035, తమిళనాడు"
"323-324, cmh road, indira nagar, 1st stage, bangalore - 560038","323-324, CMH రోడ్, ఇందిరా నగర్, 1 వ స్టేజ్, బెంగళూరు - 560038 "
"324, 325 pu4 , scheme 54, behind hotel country inn, indore, madhya pradesh 452010","324, 325 PU4, పథకం 54, హోటల్ కంట్రీ ఇన్, ఇండోర్, మధ్యప్రదేశ్ 452010 "
"324, guru hargobind nagar, phagwara, kapurthala 144401, punjab","324, గురు హర్గోబింద్ నగర్, ఫాగ్వారా, కపుర్తాల 144401, పంజాబ్ "
"33- g, b. r. s. nagar, ludhiana  141001, punjab","33- G, B. R. S. నగర్, లూధియానా 141001, పంజాబ్ "
"330, vinay nagar, delhi bypass chowk, rohtak  124001, haryana","330, వినయ్ నగర్, ఢిల్లీ బైపాస్ చౌక్, రోహ్తక్ 124001, హర్యానా "
"332  a& b, lajpat nagar, jalandhar  144001, punjab","332 & బి, లజపత్ నగర్, జలంధర్ 144001, పంజాబ్ "
"35, phase7, sa s nagar, mohali  160062, punjab","35, ఫాజీ 7, SA నగర్, మొహాలి 160062, పంజాబ్ "
"36, prem nagar, ambala  134003, haryana","36, ప్రేమ్ నగర్, అంబాలా 134003, హర్యానా "
"36a, velachery main road, velachery, chennai  600042, tamil nadu","36A, వెలాచెరీ మెయిన్ రోడ్, వెలాచెరీ, చెన్నై 600042, తమిళనాడు "
"371, guru hargobind nagar, phagwara, kapurthala  144401, punjab","371, గురు హర్గోబింద్ నగర్, ఫాగ్వారా, కపుర్తాల 144401, పంజాబ్ "
"372-373, huda sector 11, panipat  132103, haryana","372-373, హుడా సెక్టార్ 11, పానిపట్ 132103, హర్యానా "
"391 green avenue, near court chownk, amritsar - 143001, punjab","391 గ్రీన్ అవెన్యూ, కోర్టు Chownk సమీపంలో, అమృత్సర్ - 143001, పంజాబ్ "
"392, adarsh nagar, jalandhar  144008, punjab","392, ఆదర్శ్ నగర్, జలంధర్ 144008, పంజాబ్ "
3d echo,3 డి ఎకో
3d echo/ transesophageal echo cardiography ( tee),3 డి ఎకో / ట్రాన్స్‌సోఫాగియల్ ఎకో కార్డియోగ్రఫీ (టీ) విభాగము 
"3rd floor, hyatt medicare, dr n.b khare marg, dhantoli, nagpur  440012, maharashtra","3 వ అంతస్తు, హైట్ మెడికేర్, డాక్టర్ బి ఖార్ మార్గ్, ధనోలి, నాగ్పూర్ 440012, మహారాష్ట్ర "
"3rd floor, samved hospital, near sopan flats, on stadium cross roads to commerce college roads, navrangpura, ahmedabad  380013","సోపాన్ ఫ్లాట్ల సమీపంలో 3 వ అంతస్తు, సమాఖ్య హాస్పిటల్, స్టేడియం క్రాస్ రోడ్లు వాణిజ్య కళాశాల రోడ్లు, నవ్రంగ్పురా, అహ్మదాబాద్ 380013 "
"40, sassoon road pune station road pune-411001, maharashtra","40, సాసూన్ రోడ్ పూణే స్టేషన్ రోడ్ పూణే -411001, మహారాష్ట్ర"
"41224, dk2, danish kunj, kolar , bhopal  462042, madhya pradesh","41224, DK2, డానిష్ కుంజ్, కోలార్, భోపాల్ 462042, మధ్యప్రదేశ్ "
"42, manali house, jail road, ambala city  134003, haryana","42, మనాలి హౌస్, జైల్ రోడ్, అంబాలా సిటీ 134003, హర్యానా "
"44330, dev colony, delhi road, rohtak  124001, haryana","44330, దేవ్ కాలనీ, ఢిల్లీ రోడ్, రోహ్తక్ 124001, హర్యానా "
"4454,30th cross, tilaknagar, jayanagar extension, bangalore  560041, karnataka","4454,30 వ క్రాస్, తిలక్ నగర్, జయనగర్ ఎక్స్‌టెన్షన్, బెంగళూరు 560041, కర్ణాటక"
"453 & 454, r. k. shenanigans road, k. k. nagar, chennai  600078, tamil nadu a","453 & 454, R. K. షెనిగన్స్ రోడ్, K. K. నగర్, చెన్నై 600078, తమిళనాడు A "
"48, 49, janki nagar, opp. gufa mandir, lalghati, bhopal  462032, madhya pradesh","48, 49, జనకి నగర్, OP. కావే ఆలయం, లాల్ఘటి, భోపాల్ 462032, మధ్యప్రదేశ్ "
"48, babar road, new delhi 110001","48, బాబర్ రోడ్, న్యూ ఢిల్లీ 110001"
"4846, mitramandal colony, aranyeshwar road, parvati, pune  411009, maharashtra","4846, Mitramandal కాలనీ, అరనేశ్వర్ రోడ్, పార్వతి, పుణె 411009, మహారాష్ట్ర "
"486924, ansari road, daryaganj, new delhi  110002","486924, అన్సారీ రోడ్, దరిగన్జ్, న్యూఢిల్లీ 110002 "
4d colour doppler,4d రంగు డాప్లర్
4d echo,4 డి ఎకో
"5, maqbool road, near anand avenue, amritsar - 143001, punjab","5, మక్బూల్ రోడ్, ఆనంద్ అవెన్యూ, అమృత్సర్ - 143001, పంజాబ్ "
"50, melur road, uthangudi, madurai  625107, tamil nadu","50, మెలూర్ రోడ్, ఉత్తరయుడి, మదురై 625107, తమిళనాడు "
"5027, kedar nath road, dariyaganj, delhi - 110002","5027, కేదార్ నాథ్ రోడ్, దరిగన్జ్, ఢిల్లీ - 110002 "
"514/1#2#3 opp. total mall, sarjapur road, kaikondara village, bangaluru, karnataka 560103","514/1 # 2 # 3 OP. మొత్తం మాల్, సర్జపూర్ రోడ్, కాకాండర గ్రామం, బెంగళూరు, కర్ణాటక 560103 "
"520521, new jawahar nagar, jalandhar  144001, punjab","520521, న్యూ జవహర్ నగర్, జలంధర్ 144001, పంజాబ్ "
"521, ttd kalyana mandapam premises, vizianagaram  535002, andhra pradesh","౫౨౧, టీటీడీ కళ్యాణ మండపం ప్రెమిసెస్, విజినగరం  ౫౩౫౦౦౨, ఆంధ్ర ప్రదేశ్ "
"56-01, dayanand colony, new railway road, gurgaon  122001, haryana","56-01, దయానంద కాలనీ, న్యూ రైల్వే రోడ్, గుర్గావ్ 122001, హర్యానా "
"57, ettayapuram road , opp to head post office, kovilpatti, tuticorin - 628501, tamil nadu","57, Ettayapuram రోడ్, Opp టు హెడ్ పోస్ట్, కోవిల్పట్టి, టుటికోరిన్ - 628501, తమిళ్ నాడు "
"57b, singar nagar, alambagh, lucknow  226005, uttar pradesh","57 బి, సింగర్ నగర్, అల్మాబాగ్, లక్నో 226005, ఉత్తరప్రదేశ్ "
"58, 5th cross, 18th main, koramangala, bangalore  560095, karnataka","58, 5 వ క్రాస్, 18 వ మెయిన్, కోరామంగళ, బెంగళూరు 560095, కర్ణాటక "
"6-3-1111/19, nishath bagh, begumpet, hyderabad  500016, telangana","6-3-1111 / 19, నిషత్ బాగ్, బేగంపేట్, హైదరాబాద్ 500016, తెలంగాణ "
"6-3-347/22/b/1, saibaba temple lane, dwarakapuri colony, panjagutta, hyderabad - 500082, telangana","6-3-347 / 22 / b / 1, సాయిబాబా టెంపుల్ లేన్, ద్వారకారపురి కాలనీ, పంజాగుట్ట, హైదరాబాద్ - 500082, తెలంగాణ "
"6/6, b2 sivgangai road, managiri, madurai - 625020, tamil nadu","6/6, బి 2 శివంగగై రోడ్, ఏనీరై, మదురై - 625020, తమిళనాడు "
"60, diamond harbour road, behala, kolkata  700008, west bengal","60, డైమండ్ హార్బర్ రోడ్, బెహాల, కోలకతా 700008, పశ్చిమ బెంగాల్"
"603, konapanna agrahara, hosur main road, electronic city , bengaluru  560100, karnataka","603, అంగ్గన్ అగ్రారా, హోసూర్ ఐ రోడ్, ఎలక్ట్రానిక్ సిటీ, బెంగళూరు 560100, కర్నాటక "
"605 r, mall hoad, model town, jalandhar  144003, punjab","605, మాల్ హోండ్, మోడల్ టౌన్, జలంధర్ 144003, పంజాబ్ "
64 slice spiral ct scanning,64 స్లైస్ స్పైరల్ సిటి(CT) స్కానింగ్
"657 & 658, trichy road, singanallur, coimbatore  641005, tamil nadu","657 & 658, త్రిచి రోడ్, సింగనల్లూర్, కోయంబత్తూర్ 641005, తమిళనాడు "
"661 a&b, guru teg bahadur nagar, jalandhar  144003, punjab","661 & బి, గురు టెగ్ బహదూర్ నగర్, జలంధర్ 144003, పంజాబ్ "
"69, model town, ambala city  1340031, haryana","69, మోడల్ టౌన్, అంబాలా సిటీ 1340031, హర్యానా "
"7 circular road, near medical college, amritsar  143001, punjab","7 వృత్తాకార రహదారి, మెడికల్ కాలేజీ, అమృత్సర్ 143001, పంజాబ్ "
"7, link road, lajpat nagar, jalandhar  144001, punjab","7, లింక్ రోడ్, లజపత్ నగర్, జలంధర్ 144001, పంజాబ్ "
"701, mall road, model town, jalandhar-1440003, punjab","701, మాల్ రోడ్, మోడల్ టౌన్, జలంధర్ -1440003, పంజాబ్ "
"729, poonamallee high road, aminjikarai, chennai  600030, tamil nadu","729, పూనమల్లీ హై రోడ్, అమింజికారై, చెన్నై 600030, తమిళనాడు "
"73, ringroad, lajpat nagariii, delhi - 110024","73, రింగోడ్, లజపత్ నాగరి, ఢిల్లీ - 110024 "
"75, sarat bose road, lansdowne, kolkata - 700026, west bengal","75, శరత్ బోస్ రోడ్,లాన్స్డౌన్ , కోల్‌కతా - 700026, పశ్చిమ బెంగాల్"
"77-79, ajit nagar,  amritsar  143001, punjab","77-79, అజిత్ నగర్, అమృత్సర్ 143001, పంజాబ్ "
"8-9 agcr enclave opp., karkardooma, delhi- 110092","8-9 AGCR ఎన్క్లేవ్ అప్., కార్కార్డోమా, ఢిల్లీ- 110092 "
"80, motia talab, opp. tajul masajid, royal market, bhopal  462001, madhya pradesh","80, మోటియా తాలాబ్, opp. తాజుల్ మసాజిడ్, రాయల్ మార్కెట్, భోపాల్ 462001, మధ్యప్రదేశ్ "
"82/031, guru govind singh marg, lalkuan lucknow  226019, uttar pradesh","82/031, గురు గోవింద్ సింగ్ మార్గ్, లాల్కు లక్నో 226019, ఉత్తర ప్రదేశ్ "
"854, 10th cross, be layout jp nagar, 7th phase, near big bazar, puttenahalli, bangalore  560076, karnataka","854, 10 వ క్రాస్, బిఇ లేఅవుట్ జెపి నగర్, 7 వ దశ, బిగ్ బజార్ సమీపంలో, పుట్టెనహల్లి, బెంగళూరు 560076, కర్ణాటక"
"86, motia talab road, opp tajul masjid, ashok nagar, bhopal  462001, madhya pradesh","86, మోతీ చెరువు రోడ్, ఓపి తాజుల్ మసీదు, అశోక్ నగర్, భోపాల్ 462001, మధ్యప్రదేశ్ "
"890-8, ciruclar road, opposite medical college, amritsar 143001, punjab","890-8, వృత్తాకార రహదారి, వ్యతిరేక వైద్య కళాశాల, అమృత్సర్ 143001, పంజాబ్ "
"9, lajpat nagar, link road, jalandhar 144001, punjab","9, లజ్పత్ నగర్, లింక్ రోడ్, జలంధర్ 144001, పంజాబ్ "
"970 b, rajpura road, civil lines, ludhiana  141001, punjab","970 బి, రాజ్ పూర్ రోడ్, సివిల్ లైన్స్, లూధియానా 141001, పంజాబ్ "
"98, b.t.road, kaibroty para, khardah, kolkata 700117, west bengal","98, బి.టి.రోడ్, కైబ్రోటీ పర, ఖర్ధహా, కోల్‌కతా 700117, పశ్చిమ బెంగాల్"
"a  4, sarvodaya nagar, kanpur  208005, uttar pradesh","4, సర్వోదయ నగర్, కాన్పూర్ 208005, ఉత్తరప్రదేశ్ "
"a 1415, heera nagar, ganga jamuna petrol pump, gopalpura bye pass, jaipur  302019, rajasthan","1415, డైమండ్ నగర్, గంగా జామునా పెట్రోల్ పంప్, గోపాల్పురా బాయి పాస్, జగపూర్ 302019, రాజస్ధాన్ "
"a n gaikwad road, beside sundar nagar, miraj  416410, maharashtra","ఒక గైఖ్వాడ్ రహదారి, అందమైన పట్టణం, మిరాజ్ 416410, మహారాష్ట్ర "
