SN,tel,eng,names,finalised
10,గెట్వెల్ క్లినిక్,Getwel Clinic,గెత్వేల్ క్లినిక్,గెట్వెల్ క్లినిక్
11,హెల్త్పార్క్ మెడికల్ సెంటర్,Healthpark Medical Center,హెల్త్పార్క్ మెడికల్ సెంటర్,హెల్త్పార్క్ మెడికల్ సెంటర్
12,"అపోలో మెడికల్ సెంటర్, అన్ననగర్ ","Apollo Medical Centre, Annanagar","అపోలో మెడికల్ Centre, అన్నగారు","అపోలో మెడికల్ సెంటర్, అన్ననగర్ "
13,ఇన్స్టిట్యూట్ ఫర్ రుమటాలజీ అండ్ ఇమ్యునాలజీ సైన్సెస్,Institute for Rheumatology and Immunology Sciences,ఇన్స్టిట్యూట్ ఫర్ ర్చెఉమతోలోజి అండ్ ఇమ్మ్యూనోలోజి సైన్సెస్,ఇన్స్టిట్యూట్ ఫర్ రుమటాలజీ అండ్ ఇమ్యునాలజీ సైన్సెస్
14,కాన్స్ కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్ ప్రైవేట్. లిమిటెడ్ .,Kins Care అండ్ Research Foundation ప్రైవేట్. లిమిటెడ్ .,కేన్స్ కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్ ప్రైవేట్. లిమిటెడ్ .,కిన్స్ కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్ ప్రైవేట్. లిమిటెడ్ .
15,ఆక్యుపేషనల్ హెల్త్ సెంటర్ రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్,Occupational Health Centre Reliance Industries లిమిటెడ్,ఒకేసుపెషనల్ హెల్త్ సెంటర్ రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్,ఆక్యుపేషనల్ హెల్త్ సెంటర్ రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్
16,ఇన్ఫిఫైఫ్ ​​హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్.,Infilife Health Care ప్రైవేట్. లిమిటెడ్ .,ఇంఫిలిఫ్ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .,ఇంఫి లైఫ్  ​​హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్.
17,Neogen Danagostics అండ్ పాలిక్లినిక్ ప్రైవేట్. లిమిటెడ్ .,Neogen Diagnostics and పాలిక్లినిక్ ప్రైవేట్. లిమిటెడ్ .,నేయోగేం దియాగ్నోస్టిక్స్ అండ్ పోలీక్లినిక్ ప్రైవేట్. లిమిటెడ్ .,నియోజేన్  డయాగ్నోస్టిక్స్ అండ్ పాలిక్లినిక్ ప్రైవేట్. లిమిటెడ్ .
18,నిలోర్ లక్ష్మీ దేన్నా ఫ్రీ హాస్పిటల్,Nellore Lakshmi Devamma Free హాస్పిటల్,నెల్లూరు లక్ష్మి దేవమ్మ ఫ్రీ హాస్పిటల్,నెల్లూరు లక్ష్మి దేవమ్మ ఫ్రీ హాస్పిటల్
19,సంరక్షణ. ఫిట్ మెడికల్ అండ్ డయాగ్నొస్టిక్ సెంటర్,Care.Fit Medical and Diagnostic Centre,Care.Fit మెడికల్ అండ్ డయాగ్నొస్టిక్ సెంటర్,కేర్. ఫిట్ మెడికల్ అండ్ డయాగ్నొస్టిక్ సెంటర్
20,"ప్రియ సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, కర్నూలు ","Priya Cement Free Primary హాస్పిటల్, Kurnool","ప్రియా సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, కర్నూల్","ప్రియ సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, కర్నూలు "
21,"ప్రియ సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, సూర్యపేట్ ","Priya Cement Free Primary హాస్పిటల్, Suryapet","ప్రియా సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, సూర్యాపేట","ప్రియ సిమెంట్ ఫ్రీ ప్రైమరీ హాస్పిటల్, సూర్యపేట్ "
22,"పల్స్ డయాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్, బెహాలా ","Pulse Diagnostics ప్రైవేట్. లిమిటెడ్ ., Behala","పల్స్ దియాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్ ., బెహలా","పల్స్ డయాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్, బెహాలా "
23,బెర్రాంపోర్ జిల్లా సెంటర్,Behrampore District Centre,బెహ్రామ్పోరే డిస్ట్రిక్ట్ సెంటర్,బెర్రాంపోర్ జిల్లా సెంటర్
24,సర్వోదయ మెడిసెంటర్.,Sarvodaya Medicentre,సర్వోదయ మేడిసెంట్రీ,సర్వోదయ మెడిసెంటర్.
25,ఇన్ఫేరియస్ వ్యాధులు ఇన్స్టిట్యూట్,Institute of Infectious Diseases,ఇన్స్టిట్యూట్ అఫ్ ఇన్ఫెక్షియస్ దిసీజ్స్,ఇన్స్టిట్యూట్ అఫ్ ఇన్ఫెక్షియస్ దిసీజ్స్
26,"సురక్ష డయాగ్నోస్టిక్స్ పావిట్ లెంట్., చింట్ ","Suraksha Diagnostic ప్రైవేట్. లిమిటెడ్ ., Chinarpak","సురక్ష డయాగ్నొస్టిక్ ప్రైవేట్. లిమిటెడ్ ., చైనార్పాక్","సురక్ష డయాగ్నొస్టిక్ ప్రైవేట్. లిమిటెడ్ ., చైనార్పాక్"
27,బెంగుళూరు అలెర్జీ సెంటర్ (తిరిగి),Bengaluru Allergy Centre (BAC),బెంగళూరు ఎలర్జీ సెంటర్ (BAC),బెంగుళూరు అలెర్జీ సెంటర్ (BAC)
28,ఐ అండ్ రెటినా కేర్ సెంటర్,Eye and Retina Care Center,ఐ అండ్ రెటీనా కేర్ సెంటర్,ఐ అండ్ రెటినా కేర్ సెంటర్
29,"ఆక్యుపేషనల్ హెల్త్ సెంటర్ - మహీంద్రా రీసెర్చ్ వ్యాలీ, కాంచీపురం ","Occupational Health Centre - Mahindra Research Valley, Kancheepuram","ఒకేసుపెషనల్ హెల్త్ సెంటర్ - మహీంద్రా రీసెర్చ్ Valley, కాంచీపురం","ఆక్యుపేషనల్ హెల్త్ సెంటర్ - మహీంద్రా రీసెర్చ్ వ్యాలీ, కాంచీపురం "
30,మెడిస్కాన్ సిస్టెమ్స్ ,Mediscan Systems,మేడిస్కేన్ స్య్స్తెంస్,మెడిస్కాన్ సిస్టెమ్స్ 
31,ప్రొవిడెన్స్ ఎండోక్రైన్ అండ్ డయాబెటిస్ స్పెషాలిటీ సెంటర్,Providence Endocrine అండ్ Diabetes Specialty Centre,ప్రొవిడెన్స్ ఎండోక్రైన్ అండ్ డయాబెటిస్ స్పెషాలిటీ సెంటర్,ప్రొవిడెన్స్ ఎండోక్రైన్ అండ్ డయాబెటిస్ స్పెషాలిటీ సెంటర్
32,డాక్టర్ రఫీక్ యొక్క స్కిన్ అండ్ సౌందర్య శస్త్రచికిత్స పరిశోధన కేంద్రం,Dr. Rafeeq's Skin అండ్ Cosmetic Surgery Research Centre,Dr. Rafeeq's స్కిన్ అండ్ కాస్మెటిక్ సర్జరీ రీసెర్చ్ సెంటర్,డాక్టర్ రఫీక్ యొక్క స్కిన్ అండ్ సౌందర్య శస్త్రచికిత్స పరిశోధన కేంద్రం
33,B.m. బిర్లా హార్ట్ రీసెర్చ్ సెంటర్,B.M. Birla Heart Research Centre,B.M. బిర్లా హార్ట్ రీసెర్చ్ సెంటర్,B.m. బిర్లా హార్ట్ రీసెర్చ్ సెంటర్
34,"మిమ్స్ హాస్పిటల్, కాలికట్ ","MIMS హాస్పిటల్, Calicut","మిమ్స్ హాస్పిటల్, కాలికట్","మిమ్స్ హాస్పిటల్, కాలికట్ "
35,కేరళ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ (కిమ్స్),Kerala Institute of Medical Sciences (KIMS),కేరళ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ (KIMS),కేరళ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ (కిమ్స్)
36,మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Max Super Speciality హాస్పిటల్,మాక్స్ సూపర్ స్పెషలిటీ హాస్పిటల్,మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్
37,మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (డెవీ దేవి ఫౌండేషన్ యొక్క ఒక యూనిట్),Max Super Speciality హాస్పిటల్ ( A Unit of Devki Devi Foundation),మాక్స్ సూపర్ స్పెషలిటీ హాస్పిటల్ ( ఆ యూనిట్ అఫ్ దేవికి దేవి Foundation),మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (దేవకీ దేవి ఫౌండేషన్ యూనిట్)
38,ప్రాథమిక ఆసుపత్రి,Moolchand హాస్పిటల్,మూలచంద్ హాస్పిటల్,మూలచంద్ హాస్పిటల్
39,నారాయణ హార్ట్వే లిమిటెడ్,Narayana Hrudayalaya లిమిటెడ్,నారాయణ హృదయాలయ లిమిటెడ్,నారాయణ హృదయాలయ లిమిటెడ్
40,డాక్టర్ ఎ హెచ్ హిరానందాని హాస్పిటల్,Dr L H Hiranandani హాస్పిటల్,డ్ర్ ల హ్ హిరానందని హాస్పిటల్,డాక్టర్ ఎల్ హెచ్ హిరానందాని హాస్పిటల్
41,ఫోర్టిస్ హాస్పిటల్,Fortis హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్
42,సాగర్ హాస్పిటల్స్,Sagar హాస్పిటల్స్,సాగర్ హాస్పిటల్స్,సాగర్ హాస్పిటల్స్
43,కొలంబియా ఆసియా హాస్పిటల్ - హెబ్బల్,Columbia Asia హాస్పిటల్ - Hebbal,కొలంబియా ఆసియ హాస్పిటల్ - హెబ్బల్,కొలంబియా ఆసియా హాస్పిటల్ - హెబ్బల్
44,మణిపాల్ హాస్పిటల్,Manipal హాస్పిటల్,మణిపాల్ హాస్పిటల్,మణిపాల్ హాస్పిటల్
45,Nethradhama superspeciality ఐ హాస్పిటల్,Nethradhama Superspeciality Eye హాస్పిటల్,నేత్రదామా సూపర్ స్పెషలిటీ ఐ హాస్పిటల్,నేత్రధామ సూపర్స్పెషలిటీ  ఐ హాస్పిటల్
46,లక్కోర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్,Lakeshore హాస్పిటల్ అండ్ Research Centre లిమిటెడ్ .,లేక్షోర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్ .,లేక్షోర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్ .
47,బేబీ మెమోరియల్ హాస్పిటల్,Baby Memorial హాస్పిటల్,బేబీ మెమోరియల్ హాస్పిటల్,బేబీ మెమోరియల్ హాస్పిటల్
48,ఎస్కార్ట్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్,Escorts Heart Institute అండ్ Research Centre,ఎస్కార్ట్స్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్,ఎస్కార్ట్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్
49,సర్ గంగా రామ్ హాస్పిటల్,Sir Ganga Ram హాస్పిటల్,సర్ గంగ రామ్ హాస్పిటల్,సర్ గంగా రామ్ హాస్పిటల్
50,ఎస్కార్ట్లు ఫోర్టిస్ హాస్పిటల్,Escorts Fortis హాస్పిటల్,ఎస్కార్ట్స్ ఫోర్టిస్ హాస్పిటల్,ఎస్కార్ట్లు ఫోర్టిస్ హాస్పిటల్
51,ఫోర్టిస్ హాస్పిటల్,Fortis హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్
52,ఏడు హిల్స్ హాస్పిటల్,Seven Hills హాస్పిటల్,సెవెన్ హిల్స్ హాస్పిటల్,సెవెన్ హిల్స్ హాస్పిటల్
53,ధర్మశిలా క్యాన్సర్ ఫౌండేషన్ అండ్ రీసెర్చ్ సెంటర్,Dharamshila Cancer Foundation and Research Centre,ధర్మశీల కాన్సర్ ఫౌండేషన్ అండ్ రీసెర్చ్ సెంటర్,ధర్మశిలా క్యాన్సర్ ఫౌండేషన్ అండ్ రీసెర్చ్ సెంటర్
54,చాచా నెహ్రూ చైల్డ్ హాస్పిటల్,Chacha Nehru Bal Chikitsalaya,చర్చ నెహ్రు బల్ చికిత్సాలయా,చాచా నెహ్రూ చైల్డ్ హాస్పిటల్
55,కైలాష్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్,Kailash హాస్పిటల్ అండ్ Research Centre లిమిటెడ్ .,కైలాష్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్ .,కైలాష్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ లిమిటెడ్
56,జి. కుప్పుస్వామి నాయుడు మెమోరియల్ హాస్పిటల్,G. Kuppuswami Naidu Memorial హాస్పిటల్,G. కుప్పుస్వామి నాయుడు మెమోరియల్ హాస్పిటల్,జి. కుప్పుస్వామి నాయుడు మెమోరియల్ హాస్పిటల్
57,స్టెర్లింగ్ హాస్పిటల్స్,Sterling హాస్పిటల్స్,స్టెర్లింగ్ హాస్పిటల్స్,స్టెర్లింగ్ హాస్పిటల్స్
58,అమృతా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్,Amrita Institute of Medical Sciences,అమ్రిత ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్,అమృతా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్
59,అపోలో స్పెషాలిటీ హాస్పిటల్స్,Apollo Speciality హాస్పిటల్స్,అపోలో స్పెషలిటీ హాస్పిటల్స్,అపోలో స్పెషాలిటీ హాస్పిటల్స్
60,ఉత్తమ ఆస్పత్రులు,Paras హాస్పిటల్స్,పరస్ హాస్పిటల్స్,పరస్ హాస్పిటల్స్
61,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్ .,వక్ఖర్ట్ హాస్పిటల్స్ లిమిటెడ్ .,వాక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్
62,పి డి హిందూజా నేషనల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,P D Hinduja National హాస్పిటల్ అండ్ Research Centre,ప్ డ్ హిందుజా నేషనల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,పి డి హిందూజా నేషనల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
63,N.m. Viarani వక్హార్డ్ట్  హాస్పిటల్,N.M. Virani వక్హార్డ్ట్  హాస్పిటల్,N.M. విరని వక్ఖర్ట్ హాస్పిటల్,N.M. విరని వక్ఖర్ట్ హాస్పిటల్
64,గోద్రెజ్ మెమోరియల్ హాస్పిటల్,Godrej Memorial హాస్పిటల్,గోద్రెజ్ మెమోరియల్ హాస్పిటల్,గోద్రెజ్ మెమోరియల్ హాస్పిటల్
65,Fortis flt. Lt. హాజన్ ధాల్ హాస్పిలే,Fortis Flt. Lt. Rajan Dhall హాస్పిటల్,ఫోర్టిస్ Flt. Lt. రాజన్ దాల్ హాస్పిటల్,ఫోర్టిస్ Flt. Lt. రాజన్ దాల్ హాస్పిటల్
66,కస్తూర్బా ఆసుపత్రి,Kasturba హాస్పిటల్,కస్తూర్బా హాస్పిటల్,కస్తూర్బా ఆసుపత్రి
67,జనరల్ ఆసుపత్రి,General హాస్పిటల్,జనరల్ హాస్పిటల్,జనరల్ ఆసుపత్రి
68,"ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, నీలం బాటా రోడ్, నైట్ ","Fortis హాస్పిటల్స్ లిమిటెడ్, Neelam Bata Road, NIT","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, నీలం బాట Road, నిట","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, నీలం బాటా రోడ్, NIT "
69,రూబీ హాల్ క్లినిక్,Ruby Hall Clinic,రూబీ హాల్ క్లినిక్,రూబీ హాల్ క్లినిక్
70,స్టెర్లింగ్ హాస్పిటల్స్,Sterling హాస్పిటల్స్,స్టెర్లింగ్ హాస్పిటల్స్,స్టెర్లింగ్ హాస్పిటల్స్
71,ఆర్టిమిస్ హెల్త్ ఇన్స్టిట్యూట్,Artemis Health Institute,అర్తెమిస్ హెల్త్ ఇన్స్టిట్యూట్,ఆర్టిమిస్ హెల్త్ ఇన్స్టిట్యూట్
72,"ప్రమాదాలు ఆర్థోపెడిక్స్, ప్లాస్టిక్ అండ్ మాక్సిల్ఫేసియల్ సర్జరీ కోసం స్పార్ష్ హాస్పిటల్ ","Sparsh హాస్పిటల్ for Accidents Orthopedics, Plastic అండ్ Maxillo ఫేష్యల్  Surgery","స్పర్శ్ హాస్పిటల్ ఫర్ ఐసీసిడెంట్స్ Orthopedics, ప్లాస్టిక్ అండ్ మాక్సిల్లో ఫ్యాష సర్జరీ","స్పర్శ్ హాస్పిటల్ ఫర్ ఆక్సీడెంట్స్, ఆర్థోపెడిక్స్, ప్లాస్టిక్ అండ్ మాక్సిల్లో ఫేష్యల్  సర్జరీ"
73,అపోలో స్పెషాలిటీ హాస్పిటల్,Apollo Speciality హాస్పిటల్,అపోలో స్పెషలిటీ హాస్పిటల్,అపోలో స్పెషాలిటీ హాస్పిటల్
74,షాల్బీ హాస్పిటల్స్,Shalby హాస్పిటల్స్,షాల్బ్య హాస్పిటల్స్,షాల్బీ హాస్పిటల్స్
75,ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్,Fortis హాస్పిటల్స్ లిమిటెడ్ .,ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్ .,ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్
76,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్ .,వక్ఖర్ట్ హాస్పిటల్స్ లిమిటెడ్ .,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్
77,"రాక్లాండ్ హాస్పిటల్, కుతుబ్ ఇన్స్టిట్యూషనల్ ఏరియా ","Rockland హాస్పిటల్, Qutub Institutional Area","రొకేక్లాండ్ హాస్పిటల్, క్కుతుబ్ ఇన్స్టిట్యూషనల్ ఏరియా","రాక్లాండ్ హాస్పిటల్, కుతుబ్ ఇన్స్టిట్యూషనల్ ఏరియా "
78,కిలొగ్రామ్. ఆసుపత్రి,K.G. హాస్పిటల్,K.G. హాస్పిటల్,K.G. హాస్పిటల్
79,పవిత్ర ఆత్మ ఆసుపత్రి,Holy Spirit హాస్పిటల్,హోలీ స్పిరిట్ హాస్పిటల్,హోలీ స్పిరిట్ హాస్పిటల్
80,బరా హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్,Batra హాస్పిటల్ అండ్ Medical Research Centre,బాత్రా హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్,బాత్రా హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్
81,PSG హాస్పిటల్స్,PSG హాస్పిటల్స్,ప్రొస్గ్ హాస్పిటల్స్,PSG హాస్పిటల్స్
82,ఫ్రాంటియర్ లైఫ్లైన్ హాస్పిటల్,Frontier Lifeline హాస్పిటల్,ఫ్రాంటియర్ లిఫెలైన్ హాస్పిటల్,ఫ్రాంటియర్ లైఫ్లైన్ హాస్పిటల్
83,డాక్టర్ B.L. కపూర్ మెమోరియల్ హాస్పిటల్,Dr. B.L. Kapur Memorial హాస్పిటల్,Dr. B.L. కపూర్ మెమోరియల్ హాస్పిటల్,డాక్టర్ B.L. కపూర్ మెమోరియల్ హాస్పిటల్
84,గ్లోబుల్స్ గ్లోబల్ హెల్త్ సిటీ,Gleneagles Global Health City,గ్లేనేఆగ్లేస్ గ్లోబల్ హెల్త్ సిటీ,గ్లెన్ఈగిల్స్ గ్లోబల్ హెల్త్ సిటీ
85,"యశోద సూపర్ స్పెషాలిటీ హాస్పిటల్, కౌసంబి ","యశోద Super Speciality హాస్పిటల్, Kaushambi","యశోద సూపర్ స్పెషలిటీ హాస్పిటల్, కౌశాంబి","యశోద సూపర్ స్పెషాలిటీ హాస్పిటల్, కౌసంబి "
86,"జీవాన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, పుసా రోడ్ ","Jeewan Nursing Home అండ్ హాస్పిటల్, Pusa Road","జీవన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, పూస రోడ్","జీవాన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, పుసా రోడ్ "
87,"మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, వైశాలి ","Max Super Specialty హాస్పిటల్, Vaisali","మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, వైశాలి","మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, వైశాలి "
88,యశోద హాస్పిటల్,యశోద హాస్పిటల్,యశోద హాస్పిటల్,యశోద హాస్పిటల్
89,పవిత్ర కుటుంబ ఆస్పత్రి,Holy Family హాస్పిటల్,హోలీ ఫామిలీ హాస్పిటల్,హోలీ ఫామిలీ హాస్పిటల్
90,ప్రైమస్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Primus Super Speciality హాస్పిటల్,ప్రైమస్ సూపర్ స్పెషలిటీ హాస్పిటల్,ప్రైమస్ సూపర్ స్పెషాలిటీ హాస్పిటల్
91,మాక్స్ హాస్పిటల్,Max హాస్పిటల్,మాక్స్ హాస్పిటల్,మాక్స్ హాస్పిటల్
92,విజయ్ మెడికల్ అండ్ ఎడ్యుకేషనల్ ట్రస్ట్,Vijaya Medical అండ్ Educational Trust,విజయ మెడికల్ అండ్ ఎడ్యుకేషనల్ ట్రస్ట్,విజయ్ మెడికల్ అండ్ ఎడ్యుకేషనల్ ట్రస్ట్
93,జనరల్ ఆసుపత్రి,General హాస్పిటల్,జనరల్ హాస్పిటల్,జనరల్ ఆసుపత్రి
94,లిల్వాతి హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Lilavati హాస్పిటల్ and Research Centre,లీలావతి హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,లీలావతి హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
95,అపోలో హాస్పిటల్స్ ఇంటర్నేషనల్ లిమిటెడ్,Apollo హాస్పిటల్స్ International లిమిటెడ్,అపోలో హాస్పిటల్స్ ఇంటర్నేషనల్ లిమిటెడ్,అపోలో హాస్పిటల్స్ ఇంటర్నేషనల్ లిమిటెడ్
96,"మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, ప్యాట్రాగ్జ్ ","Max Super Specialty హాస్పిటల్, Patparganj ","మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, పట్టుపరుగంజ్","మాక్స్ సూపర్ స్పెషాలిటీ హాస్పిటల్, పట్పర్గంజ్ "
97,"మెట్రో హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్, SEC. 11 అండ్ 12. ","Metro హాస్పిటల్ అండ్ Heart Institute, Sec. 11 అండ్12 ","మెట్రో హాస్పిటల్ అండ్ హార్ట్ Institute, Sec. ౧౧ అండ్12","మెట్రో హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్, sec. 11 అండ్ 12. "
98,ఢిల్లీ హార్ట్ అండ్ లంగ్ ఇన్స్టిట్యూట్,Delhi Heart and Lung Institute,ఢిల్లీ హార్ట్ అండ్ లూంగ్ ఇన్స్టిట్యూట్,ఢిల్లీ హార్ట్ అండ్ లంగ్ ఇన్స్టిట్యూట్
99,మెహతా Childern యొక్క ఆస్పత్రులు ప్రైవేట్. లిమిటెడ్ .,Mehta Childernâs హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,మెహతా children's హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,మెహతా చిల్డ్రన్స్ ఆస్పత్రులు ప్రైవేట్. లిమిటెడ్ .
